,Drug,#,%,(,),+,-,.,/,0,1,2,3,4,5,6,7,8,9,=,@,A,B,C,F,H,I,K,L,M,N,O,P,S,W,Z,[,\,],a,b,c,e,g,i,l,n,o,r,s,t,u,target
0,CCN1C(=O)/C(=C2\SC(=S)N(CCCOC)C2=O)c2ccccc21,0,0,4,4,0,0,0,1,0,2,4,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,2,3,0,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
1,Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1,0,0,1,1,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,0,0,0,1,3,0,0,0,0,0,1
2,COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,0,0,4,4,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,1
3,COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1,0,0,2,2,0,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,1
4,CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,0,0,3,3,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,10,0,0,0,0,5,0,0,0,0,0,0
5,Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,0,0,4,4,0,0,1,0,0,4,4,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,13,0,0,0,2,2,0,1,0,0,0,1
6,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,0,0,7,7,0,0,0,2,0,2,4,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
7,CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2,0,0,9,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
8,COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,0,0,3,3,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,13,0,0,0,0,1,0,0,1,0,0,1
9,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,0,0,5,5,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0
